objID,run,ra,dec,rerun,camcol,field,z,zErr,template_photo_z,template_photo_zErr,bin
1237649921112343027,1035,13.0227236180932,15.757306352583,301,6,49,0.5002784,0.0001828167,0.500004,0.027674,4
1237651539789742674,1412,207.290146929439,66.7806889584952,301,5,226,0.5131855,0.0001071692,0.545173,0.06067,4
1237648721236525789,756,193.259491877341,-0.0892988568725485,301,3,517,0.4323733,0.0001071743,0.425514,0.027377,3
1237651495224082948,1402,126.757575617811,50.9793050567841,301,2,144,0.6124928,9.677186e-05,0.499016,0.041535,5
1237651271354548627,1350,141.466046228805,58.8892259802773,301,1,230,0.3156767,8.685499e-05,0.510996,0.051105,2
1237651540316848307,1412,150.853256985726,64.801688113183,301,6,77,0.2392501,4.688173e-05,0.199327,0.018943,1
1237648720681763675,756,152.336696037314,-0.537161519859385,301,2,244,0.817295,0.0006532731,0.626524,0.042937,7
1237650760785658318,1231,193.052989519288,-3.13914400898545,301,2,159,0.5898882,0.0001659528,0.57615,0.048397,4
1237651274027041746,1350,113.08341787151,38.6485160513293,301,6,49,0.6038343,0.0001221872,0.533089,0.046567,5
1237650371018424665,1140,179.111335589392,-2.2300266829878,301,4,175,0.5843675,6.600278e-05,0.559983,0.045337,4
1237651538180113085,1412,211.03919965544,64.7774763455936,301,2,241,0.5249203,0.0001418669,0.527279,0.034151,4
1237651539786989954,1412,190.940602234061,68.07995554471,301,5,184,0.3135128,6.010489e-05,0.308586,0.038873,2
1237651249893212860,1345,209.090793292116,61.9264861965149,301,1,436,0.6237518,0.0001761146,0.559476,0.033742,5
1237651495220936978,1402,120.519535126376,45.2154188018271,301,2,96,0.3591738,4.384601e-05,0.241541,0.031785,2
1237651539797345211,1412,237.76146902211,56.7634653385694,301,5,342,0.5954177,0.000210944,0.815074,0.068454,4
1237651271882572699,1350,119.644344302214,43.7603079381443,301,2,95,0.731545,0.0002673393,0.458248,0.032345,6
1237651273505505524,1350,153.610525130867,64.7160702341394,301,5,283,0.4341021,5.207555e-05,0.529358,0.091164,3
1237651752919237303,1462,140.412224996636,0.96569254116023,301,2,100,0.4520577,6.923187e-05,0.453255,0.024735,3
1237651190813098984,1331,116.1615636799,36.987930501891,301,3,65,0.5741644,0.0001758876,0.563159,0.033249,4
1237651497370059494,1402,121.506245630552,49.2772211378524,301,6,121,0.4976871,0.0001531657,0.475682,0.032164,3
1237650795675255711,1239,128.131883608639,-0.390166091831823,301,3,52,0.5241521,0.0001508285,0.547819,0.03744,4
1237651714798977895,1453,249.881384318229,45.4762412788706,301,3,63,0.4566525,0.0001154019,0.449579,0.023544,3
1237651271358742811,1350,158.549915314888,63.9137583094753,301,1,294,0.5252402,6.653441e-05,0.589368,0.05072,4
1237651272962605630,1350,132.188723541988,55.583286367938,301,4,191,0.5346503,0.0002104744,0.560155,0.037763,4
1237650762398368369,1231,197.914347021725,-1.82741317718355,301,5,191,0.4797437,0.000103032,0.48223,0.023565,3
1237651191884743868,1331,112.027999883424,33.3940046989561,301,5,33,0.6764888,0.0001768393,0.667033,0.065714,5
1237651250441552202,1345,245.301768140366,45.7848357751173,301,2,611,0.2945199,4.61168e-05,0.282947,0.019555,1
1237651272956444778,1350,118.910918453735,44.409173124684,301,4,97,0.5123923,0.0002295144,0.547802,0.031033,4
1237651752395800977,1462,171.048619264622,1.27278548508557,301,1,305,0.5467857,0.0001041404,0.530858,0.045997,4
1237648704063538134,752,236.660917659885,-0.238030844410814,301,3,622,0.4689003,8.854365e-05,0.468243,0.036557,3
